ID,WinRate_Sorted_Champions,PickRate_Sorted_Champions
C9u7f3VGEizxsSlvaOufucSnz1qKARspcXOtc9Ghcf-fCItCPv6taEd73Q,"['Kindred', 'Viego']","['Kindred', 'Viego', 'Lillia', 'Nidalee']"
CA81gtUB6YlhVRHmlRUoHgVEdIlCxsorl0_o6vgeAHCUX-3FiZctbkyLgg,"['Poppy', 'Skarner', 'Udyr']","['Skarner', 'Udyr']"
CADQKPnLBxByaJ8xLWiHwSAiDwAAPxK1akcRxNDZ8LCrNWdp,"['Zeri', 'Aphelios', 'Draven', 'Lucian']","['Draven', 'Zeri']"
CAiKhcGxEy73wY9ThH1MECVHY8sQXQSto8pTvYiXtwA160o,"['Zoe', 'Yone', 'Ezreal', 'Neeko']","['Neeko', 'Yone']"
CBG00qse9mjddZ0cdppQOYJiw0L6pg6ZGoxFjOBeQgej5Uj2,"['Ezreal', 'Ziggs']","['Ezreal', 'Ziggs']"
CC08ywb7ZhSESRJGue-YB0TZhw-K2MMG9_JPsnJWeKeVYX3-1Nae4lkdUQ,"['Annie', 'Yone']","['Fizz', 'Qiyana', 'Annie', 'Kassadin', 'Vladimir']"
CC1L7lBtJ0G85mwCyBf6qIb_TJaAoSg2JytSMc8wNiaZiIE,"['Viego', 'Gragas', 'Ivern', 'Gnar']","['Viego', 'Ivern']"
CFbGtS1jZYmDo1At61Wwn9w1ECT6Hbmksq24DB9z7FlFgw,['Lillia'],"['Graves', 'Lillia']"
CFcTQAf0Gn-s3XNzlaNCKNnDzBR1O0e8wCA1o1i7aV5P92w,"['Jhin', 'Ezreal', 'Ashe', 'Jinx']","['Jhin', 'Ezreal', 'Jinx']"
CGcVkXnDGuV_cgImMQV9eG4ElroqDjMdn47h_Iwzc389Nlk,"['Rell', 'Viego', 'Zyra']",['Rell']
CHp0eDmYB4a1bSi8e8l2RnmwuVWc_kjJqjBSnyjF6lP3Pm4,"['Ahri', 'Smolder', 'Zeri', 'Ezreal', 'Hwei', 'Xayah']",['Zeri']
CI-tI5MY-3PtC6p7Mf4CYpq46Ckoo_aYlxQbQZ7raIJoTPY,"['Graves', 'Galio', 'Naafiri', 'Viego', 'Nidalee']","['Galio', 'Gangplank', 'Nidalee', 'Naafiri']"
CI0ByKxJjEw6ROpoF1AqxNTFuulNUJRPc7pk3c8-xNSxxP0,"['Zilean', 'Nautilus', 'Bard']","['Bard', 'Zilean', 'Nautilus']"
CIfvExGSr2oADH1PMgqMDiwj2mKneEDzaeSQ0QBv_SdUiivlQUe5yuhjFg,"['Poppy', 'Pyke']","['Poppy', 'Pyke', 'Rell']"
CJPSnYdJA47LN1DevEfVykYxVJOkjox1WT_Wb76Ils6o1AXA,['Aatrox'],"['Aatrox', 'Renekton', 'Gangplank']"
CKHCF0pieLGBo7p_cBcu7VAp6lEfQU7HfQFEKOX0jjw-M5c,"['Kennen', 'Renekton', 'Rumble']","['Rumble', 'Kennen', 'Renekton']"
CMkFy-9azxFIp1IVVlIv9JCMUsFUfuCkD1OThQhiFiqM9DqHf6gDmhQvhA,"['Smolder', 'Varus', 'Aphelios', 'Ziggs', 'Jhin']","['Jhin', 'Varus']"
CNHKlY9GVStGUG_LoyuIzGDj3zqDSCjXJfeVdlVRbyg4pNKo,"['Jinx', 'Ezreal']","['Jinx', 'Jhin', 'Ezreal']"
CNjS3VuUZqFgFUT0AdTfe3eprJKj2L-luaOUY-4mhS82Ckw,"['Braum', 'Alistar', 'Rell', 'Rakan', 'Leona', 'Pyke']","['Blitzcrank', 'Alistar']"
CQFOsurNrIan2OOAbG5JaPoGhE_M1wBofecBKAxUVqy3TeDqaQlklnmspw,"['Rell', 'Nautilus']","['Maokai', 'Nautilus', 'Rell']"
CUdCwYGslmMlgcRS7TYQxotpSf8VFRJmZ17R49mJYE_Tpz4,['Blitzcrank'],"['Brand', 'Xerath']"
CUwnxyZBBahI1CIg81RfIoPb6-IO0Utl631WaQTZHqBLGUuYkJWnmr8wGw,"['Nautilus', 'Poppy', 'Rell', 'Thresh', 'Alistar', 'Karma', 'Bard', 'Hwei']","['Rell', 'Bard', 'Nautilus', 'Poppy', 'Thresh', 'Rakan']"
CVDINMOZFyVmivVVye5sLcnctE4S2qefkw0HKNFo2oRMcPQ,"['Garen', 'Volibear', 'Udyr']","['Volibear', 'Udyr']"
CVS5Hki4BAe9YcXTOEUfrQ9kk4CECRZlxUA5gfpE93lTGQRnpGrUvQx53g,"['Nautilus', 'Alistar']","['Rell', 'Jinx', 'Nautilus']"
CWKPNWcShQC3kcNplWA8VZCPXpDLcIY7w22Lh2Kgkb3uopYwDMB_GWCwiA,"['Caitlyn', 'Ezreal', 'Ashe', 'Jinx']","['Caitlyn', 'Jinx', 'Jhin']"
CYJ32hVXsjMTMC2j0iV-r3M_Uj63zMfhK1wUnJfsC6T6nqPu,"['Jax', 'Kennen', 'Gnar', 'Renekton', 'Rumble']","['Gnar', 'Renekton', 'Kennen', 'Rumble', 'Jayce', 'Jax']"
CYmeatphXCMHIGhneo9EY9JYjAIUt1hsH8KOdaLJYAa77YdelftdIEU1KQ,"['Lucian', 'Illaoi']","['Illaoi', 'Lucian', 'Jhin']"
CZ5hHKNjITbIuTgbjfhV7-5JLJlcAxBGPPiVsKvgDECU9D4,"['Aphelios', 'Jinx', 'Xayah', 'Rakan', 'Ezreal']","['Varus', 'Ezreal', 'Jhin', 'Ziggs']"
C_nMppAJ9Hth8rH5-sttr53Hd9rQQ-r4pE-lTJC_2ELbBzenjs_L7iYhmw,"['Nidalee', 'Elise']","['Nidalee', 'Viego']"
CaO_RVWjkKcqJysYM_2e9lCR0Q-Gf158BSHY84e1-JqHJqQ,"['Akali', 'Orianna']","['Orianna', 'Zed']"
CbPSoqA8mNNc9gejTOjuNqMsyu_sNgnCjiO9DumEvM4WSAw,"['Nidalee', 'Ezreal', 'Lillia']",['Nidalee']
CeAfIw_Ok3RwwCMbCCw4dqEJH8mEjMpHik7VjngST9ysM14,"['Senna', 'Pyke']","['Senna', 'Pyke', 'Kayle']"
CeTT5oL7J7zbxdI6Kb1wrCipmRpx3qDYoyPk_CIFDZOh3g,"['Yuumi', 'Lulu']","['Lulu', 'Seraphine', 'Yuumi']"
Cf7oAjUmyV4_B6VI7EDmte8xTXpBZcIxbf_18EuWILA5lw,['Malzahar'],['Malzahar']
CfIEcJ8Bby87JcqwJfSHOoGVk-DeYj-7nF5ponGcFwlKMbI,"['Aphelios', 'Ashe', 'Jhin']","['Jhin', 'Ashe']"
CfLTRcznH4LxHzB4Zy-4iC0mUhS8b0vdeyLUI7dcWc34qDQ,"['Varus', 'Ziggs', 'Ezreal']",['Varus']
Cg84eaTMQ_ge7UYHNJvlnG_1vj44g9xYRmnxjJaI6jbf5U4,"['Yone', 'Riven', 'Aatrox']",['Aatrox']
CgcGwX-NL1at3QiipomBdPM_d-cTaYrG6ze6Qvn4ZzPKDys,"['Fiora', 'Jhin']",['Fiora']
Cgca2PmHAkh4p4WgwenRNNXGYgPBc81FNbSfY77tuvM5c_eIzwCkYNNvZw,"['Cassiopeia', 'Jhin']","['Jhin', 'Cassiopeia', 'Lucian']"
CgeAMPFs-xwDXFS9HwPbELPWhzibBctODrR7rNfVlIlbfiw,"['Elise', 'Galio']","['Elise', 'Galio']"
CgyrFj9v4gLQaXc2mF5U5Dl4tuqO3u51QjccRf232OQ8KNhW-niHJZvHPg,"['Ashe', 'Leona', 'Jhin']","['Jhin', 'Leona', 'Ezreal']"
ChrJzGfgr-YC35JSFaQf7FEIOue7S0-zhFlJbmp-AUlmJSQ,"['Ezreal', 'Ashe']",['Jinx']
CiGJNnV0YV-FW_Ww4OhgTJDHQEabvpuMbIJPHHnWRAJ3r34L,"['Karma', 'Renekton']","['Renekton', 'Aatrox']"
CjTmnlK1jCR11dXoNTwBsV8pEJ6D5sFdTlVgrmp8zblf8A,"['Sejuani', 'Sion']","['Sejuani', 'Nasus']"
CjgEomg105a2E18nq0Zg5T9qHCoUZBCkXjcUmbKGNCMxTMQ,['Vex'],['Vex']
CjjvTh7EPHfhRhEFH98dzBr1yCUErUfZIE2cRMAQuQ1ipg,"['Seraphine', 'Bard', 'Pyke']",['Bard']
CjzqI5uH-rATCv5QTr5YXCDyp4ugEiZG0w4zQyqqU39SS0o,['Urgot'],['Urgot']
CkMmpdH96MzUEHZbX32lesuknIjzWdE94M9DOTVms6UVzRSLR7EluemTRw,"['Varus', 'Corki', 'Xayah', 'Ziggs', 'Smolder', 'Ezreal']","['Smolder', 'Ziggs', 'Corki', 'Xayah', 'Jhin', 'Ezreal']"
CmNcj1Uwum04hBhH3DZyyP9iaqBlYscRcgSrxHurSxfN0CTrPlkZs8VOzw,"['Orianna', 'Hwei', 'Syndra']","['Orianna', 'Syndra', 'Hwei', 'Viktor']"
CoLFX6C0d-yiVYsI3K-Nw-8So2lKupDDHZzXpK2soZ-x9n-r,"['Senna', 'Xerath', 'Bard', 'Zyra', 'Seraphine', 'Rell']","['Senna', 'Bard']"
CoWpXDXfEsflXoo74Q11YtKi9__84px9SX2HqdSau34NMcM9fjE1WcfDTw,"['Taliyah', 'Talon']","['Talon', 'Taliyah']"
CpXouuOlzdddWGw-9hCDg8nkZBYH2L8suhWtHJBaz5wmoeQ,['Sett'],"['Olaf', 'Sett', 'Jax', 'Volibear']"
CqpyZ_Ad3-Gzphb-Tpb702pn5JZWjhL7sFBLIuZIIthQw8o,"['Yone', 'Yasuo']","['Yone', 'Yasuo']"
Ct2jnw1vkZGVD8jCEnf-Xvt0aIt5HQTxC41RescQBYg6SIk,"['Bard', 'Thresh']","['Rakan', 'Rell', 'Alistar', 'Thresh', 'Leona']"
CwQ7Jk0VCMRZeMdkTJ38BCgtgaFGKROvp99sc9ix4KN2JGyO,['Veigar'],['Veigar']
CweUveY-sRS3MYcSrzq_H_LUWmVv41k6uwilpQ9_Q3QnyhxLqQqP3RA9kg,"['Rakan', 'Leona', 'Nautilus']","['Rell', 'Nautilus', 'Leona', 'Rakan']"
CwseB778ziT2cFE_pUSMJG93dSx3wbOSkl93mNdfg8oqOq4UNK-9Cq7pdA,"['Sylas', 'Orianna', 'Swain']","['Sylas', 'Hwei', 'Taliyah', 'Swain']"
CwvVdRUpCUq1E5Shfv3pMgnPmgCy9ZPS8hyCaM-eAruu5EM,"['Gragas', 'Skarner', 'Elise']","['Viego', 'Skarner', 'Elise', 'Gragas']"
CxYzYT_C1bTwMa2DiKKUPJOoinQtCk5qaGTcSsFSMkpLtX3ktAXaac5HrA,"['Ryze', 'Gnar', 'Kennen', 'Jax']","['Gnar', 'Jayce', 'Jax']"
Cxjqhu1mBGrV5QuX4Dem_dFrOS8fL570xqWSZU5j_q3gEv4,['Warwick'],"['Warwick', 'Nasus']"
CzCkko3KTNl3aAK7G0JoLOofCskXZGgoqU6frCsDPEkRiI0,"['Brand', 'Ziggs', 'Jhin']","['Jhin', 'Varus']"
D-KPLMPqkaEIuWduczS64uctiBryZ6cPAR9D1UyA1Yzjs7M,"['Senna', 'Rell']","['Rell', 'Leona', 'Galio', 'Senna']"
D-yyL7iOkXhjUXCKAeEmkSyQWOz8PuYclJCh1YZjAejULbQ,"['Viego', 'Zeri', 'Elise']","['Viego', 'Zeri']"
D0S_tqdQkKWwjOEDuBwJ6C8I5veg0N1hmFaICOapk_iz75I,"['Lucian', 'Kalista', 'Ezreal']",['Ezreal']
D0o47S22FqaYZXGRyTJ8R_OvXCJ3-QE5lcKVCZ24HffjP8yRQ9rKTae4Lw,"['Leona', 'Rell']","['Leona', 'Rell']"
D1e0Sn0bI4T_VoRsFU9vcyULsYzRUe8lbpvgNOPoYyvcKC8,"['Alistar', 'Poppy', 'Blitzcrank', 'Bard']","['Alistar', 'Rakan', 'Poppy', 'Leona', 'Blitzcrank']"
D4gXDFRoIZ_wTFa4ibHXLeeuVpd33N5KfpAOpfaSOHcUrS4,"['Kayle', 'Akshan']","['Akshan', 'Senna']"
D51IsQDsmDlXHlp_pRm1dOheohUeAkIAr3FM7KJ_imEdp1Y8,"['Aurora', 'Fiora', 'Gnar', 'Renekton', 'Rumble']","['Renekton', 'Aurora']"
D5Zlr1m3R9dXh-MCA2MYzpaz4y-u62W6GZXuEEBltfuwFHM,"['Ezreal', 'Zeri', 'Jinx']","['Ezreal', 'Zeri']"
D61VaH6nGpos7JGHWbEb8WaFrB8o9aqKu_n7Z7mPrTp4M1LZ,"['Hwei', 'Akali', 'Sylas']","['Gangplank', 'Sylas', 'Jayce', 'Viego']"
D6XjorjkcvpS_AeNRJj3j8_rfn2wvwO3wCNTq-no2d36qNo,['Hwei'],"['Jhin', 'Hwei']"
D7kAslxEFSF7suRS6-rZzHz_kxKFSvU6jEwYr9uh_EbWpUQ,"['Jax', 'Poppy', 'Rumble', 'Renekton', 'Alistar', 'Gragas', 'Aurora']","['Aurora', 'Gnar']"
D82oz1AxKkCjA1TtpgVnGlkKNiTheTg8EIBuRmnmWJrufg,"['Soraka', 'Lux', 'Lulu', 'Galio', 'Poppy']","['Bard', 'Lux', 'Poppy']"
D8s42eiMEMgd1DQ2L3cc0vEBQ_Derbgy3gkuWHVQZbrm_xs,"['Bard', 'Nautilus', 'Rell']","['Leona', 'Rell', 'Bard']"
DATdfWFFVjTmh0D-C-ZTFWg6ly5rN0-npMObTAuse-Hp9sf7YqTrAyjqig,"['Gwen', 'Aatrox', 'Jax']",['Jax']
DAzE2IPKVr658kt3Wq96TqX-WRgCvRYqCJngfW9COCOpzpo,"['Leona', 'Ashe', 'Jhin']","['Ashe', 'Jinx']"
DBIZSniVu0MhkDDh7-SnZjS8xBvUjdxMgJpP--EsWAnSf3Yy7WhlstllrQ,"['Graves', 'Nidalee']","['Graves', 'Nidalee', 'Lillia', 'Viego']"
DByx7nK3hZBjEYAJ9ounwIyM_niILvEs93iiS3KSfLkfV1o,['Jhin'],"['Jhin', 'Ashe']"
DC7ZmuCEMYqZpCvMAgElRObzZxHpzyoxEb-Mk269IDVSbo-osL88cJdP1w,"['Ashe', 'Jinx', 'Jhin']","['Jhin', 'Viego', 'Jinx']"
DEEBiY-SJ7KIDgPkVQ6gg0-dgv8cYGZx9bJM8Alpq0QoNc9LXh4tyH71Gw,"['Ashe', 'Jinx', 'Samira']","['Smolder', 'Samira', 'Jinx']"
DFLYJAtX0vDEHszJmGMc3BuMVDtIE88x0ycCdB8ymhX1NyA,"['Zeri', 'Yasuo', 'Jhin']",['Jhin']
DJbH47GLRHjMG0DRBKJS9cdULY0S5haXCzuW9KSrhGSJyA,"['Seraphine', 'Xayah', 'Lulu', 'Leona']","['Seraphine', 'Leona', 'Xayah']"
DLATgbB4bILCxGD9s6FpgtU3JkIzEcSRKwNHjyxkbxJOeWyYcek2yTEt0Q,"['Varus', 'Nautilus', 'Jhin', 'Smolder']","['Smolder', 'Jhin', 'Varus']"
DN1KWAd-rFRbQxp7JXEuFwLW4HdRnTroFtAtXh4LC-0mME0,"['Ashe', 'Jhin', 'Jinx', 'Zeri']",['Jhin']
DNCUaGObuEanF8HSZH-QSoMCaD66MeQDMY5PaCE-drYOvLbUe5aDR9NdGg,['Taliyah'],"['Taliyah', 'Graves']"
DNHURtrsYwei1g8dwNXonWhI_BYrf4H1PW3PsZ6h9Njq4p8,"['Caitlyn', 'Rell']","['Rell', 'Jhin']"
DOVK93XMrs00VMFpmDElwAQwSUEgC7Y1k3aNvFV6oeg0s05p8QwVsviyXQ,"['Zeri', 'Smolder', 'Jinx']",['Smolder']
DPTz9gs5q23zCa60I2711GZlA2HqG-_m4eOQJYyzMP6tkOU,['Zilean'],['Zilean']
DQ02If7EhGHzYzKhboFvSGNqDgH1418oLQ3cpvvsLbOR7bY,"['Aatrox', 'Nidalee', 'Poppy', 'Viego', 'Zeri']","['Zeri', 'Aatrox', 'Viego', 'Poppy']"
DSbLthRlbYyBJcgvzhpUV-vcSvnvJEVipwRf2IRa4hfG3cZoMPLec2PRKw,"['Graves', 'Skarner', 'Diana', 'Nidalee', 'Viego']","['Viego', 'Nidalee', 'Graves', 'Diana', 'Skarner']"
DT2EbiLqeQNyX1EA9pXES-7Qc4MgobJJOKDE7zwrV7FS4kWOYNDera8A8A,"['Gragas', 'Azir']","['Azir', 'Gragas']"
DTUGgtU1UIRx_Cu5KVDS80jCEL9qx-_Mezzy48sVsfv7YaZXol8W4R1N4w,"['Syndra', 'Yone', 'Jayce', 'Sylas']","['Yone', 'Akali', 'Jayce', 'Sylas']"
DXNIHbb9KmXcCqXqLurpBhs-Ocz5FkG4ras7fn-rWpKphw,"['Jinx', 'Ezreal']","['Jinx', 'Ezreal', 'Jhin']"
DYCYxJHos7sAtswNetKt9JutWuLXM5WL1lkDgSzhOjc9lg,['Aphelios'],['Annie']
DYQVwa0x5X-DHzw29JL1f5uG9omQgDOsKtWHSTP51zWc6Q,"['Camille', 'Pyke']",['Taliyah']
DZiW8ho8KK70jR8-OMkHgFspoX59mZzaj4XoOm5XeOBqmA0sKLXdrE6Q_w,"['Ekko', 'Elise', 'Viego', 'Karthus', 'Nidalee']","['Graves', 'Elise', 'Nidalee', 'Viego']"
D_DaMwE4Zdzt86ZjFw1mSqJFBwaojxv2UZxjp4qv-jEN0lg,"['Ezreal', 'Nidalee', 'Lucian']","['Nidalee', 'Ezreal']"
Da09J0iU-Z4nmFf4dkxn7ZFwkgsu-FrPWTGWlDCT3D6XxXo,"['Hecarim', 'Zyra']","['Zyra', 'Hecarim']"
DbN4nu2ZlbDPSA9OKqu8bqWfSWnCkdrRY7COtRXc7CANiQS4Wl92t42h1w,"['Jinx', 'Varus', 'Jhin']","['Jhin', 'Ezreal', 'Varus']"
Dcr6DKlEJKRf6Uqjl7KAr2-cgdVUgNRJvr3VMzLVVLB-ttls,"['Caitlyn', 'Aphelios', 'Ezreal', 'Jhin', 'Draven', 'Lucian']",['Aphelios']
DdHKf3gO81HyDGuCa4zYsMyYzxBhyLVA-w2NsZNAeU8UaRk,"['Yone', 'Yasuo', 'Vladimir']","['Yone', 'Yasuo', 'Vladimir']"
DehNK3hin01uYq7_IqGB-gRSk5gK_Yx_8z0eBL0OvBwD1KF3ycl8EoBUaQ,"['Kalista', 'Jinx']","['Jinx', 'Kalista', 'Jhin']"
DfV7kpn7K_PlN4v-sqya_dpSHEXU44Voi_-mJf4edPnvpLU3rtzJaO9vlA,"['Ezreal', 'Azir', 'Ahri', 'Zoe', 'Taliyah', 'Jhin', 'Corki']","['Zoe', 'Ezreal']"
Df_N3r3V_Cr4qgZ2pNj_j5-LmywJpnZMhh3l7jfLs7zPF4CxMOIOuQHhAQ,"['Lissandra', 'Orianna', 'Pantheon']","['Pantheon', 'Orianna', 'Galio', 'Hwei']"
Dfq3e_N3ci8Mc7Guys0FX5zzTWd1IBVjwHHPq_hDeUMiyyoLkWGx4BCWsw,"['Twitch', 'Jhin', 'Aphelios', 'Ezreal']","['Jhin', 'Aphelios', 'Ezreal']"
Dg8PtYgH9IDsEJjLSflt-U3C_j1wTJ2dypQXfc8z9eZ_OdY,"['Aatrox', 'Gnar', 'Yone']","['Aatrox', 'Yone', 'Jhin']"
DiCQJefNFcIaVybaONtXGclkwZBimkZqnXzlRWxm63f6siQbPrfC0EYfMA,"['Taliyah', 'Orianna', 'Syndra']","['Orianna', 'Syndra', 'Azir']"
DkCKHNjp2B-kVKzFmQ6Hi_yRiOTUVEtVhjk0Pzri6bzgZaA,"['Jinx', 'Ashe', 'Jhin']","['Jhin', 'Jinx', 'Ashe']"
Dm7GCur4G6h_R4Yr0TUKtmdxq038tOytfp9JPxk-CZJSQVkI,"['Fiora', 'Jax', 'Renekton', 'Gnar', 'Rumble']","['Fiora', 'Jax', 'Rumble', 'Gnar']"
Dn8yRFuLKw7DFtj_R0kbIHI3aHOwzhVyF-qhZnw3TKHoA06d,"['Darius', 'Rammus', 'Sylas', 'Veigar']","['Veigar', 'Rammus']"
DnaK99Xz2YJcrIGQ1eCBwWBc6jFXN90vJ09II8ovtm4ZAy8TJzoqpNf2bg,"['Nautilus', 'Vladimir']","['Rengar', 'Vladimir']"
DpDe7eVBWso8xqcrbQFub04x24Foc5PV8V9xEpc_t3b1pns,['Ekko'],['Ekko']
Dpp09-f02PKyN9wV6Rri7NbSAV6lDAvxcY29jMH8O8naE1rts_kWHULW3g,"['Aphelios', 'Ezreal', 'Ashe', 'Jhin']","['Ezreal', 'Ashe', 'Jhin']"
DqSG5wR0k4MfFYevmp8cklvm0rK--OViSoq9bJ9CVe2nLjk56OWiWg925g,"['Skarner', 'Graves', 'Viego']","['Skarner', 'Viego', 'Jhin']"
DsOoYF6qWEo9pJ1dbhyjwCX9QjAlWPmGqAE4Ji6BHIGzAj4,"['Ryze', 'Veigar', 'Fizz', 'Tristana', 'Sylas']","['Fizz', 'Aurora', 'Ryze']"
DsrSqQz1BCxTxSxShTSDqLqcJyJscaDK351hkHrV1Qi6mK4,"['Qiyana', 'Skarner']","['Skarner', 'Qiyana']"
DuKiFRCnmDeKzxDfXUQTfMOc55e65SvnLmPPmQ0SnqPsYb4,"['Elise', 'Karthus', 'Sion', 'Vi']","['Karthus', 'Sion']"
DurGIpMEzSVu8_1Db2b3E4ajDXX9fx6nLcaTZltuhXN5bEU,"['Akali', 'Akshan', 'Galio', 'Hwei', 'Orianna', 'Sylas', 'Syndra', 'Vex', 'Viego', 'Yone']","['Yone', 'Orianna', 'Akshan', 'Viego', 'Hwei', 'Sylas']"
Dv04pFx7xuELHznp6gj3V8j7EbW9Xa1JP2hByv3eIJtx8aFd9F4Gv0y2Kw,"['Nidalee', 'Graves', 'Vi']","['Graves', 'Nidalee', 'Vi', 'Viego']"
Dvy6jC0MOeNKqrZCjUEFEoF-15H7Sh35P2SwHswBtmdN8XzL9ZnVWlWC3g,"['Rumble', 'Gnar', 'Aurora']","['Rumble', 'Jayce', 'Renekton']"
Dw7Gaafa5K8zevoK1pvhBXjvZN_zx2VA9gEXPRESlOMGh84,"['Renekton', 'Jayce']","['Renekton', 'Jayce']"
DwFvcGk7CDppHGaeGhsUvJlMSXYNFCQOoA2upVNvgMUzAk2H,"['Sylas', 'Akali', 'Orianna']","['Aurora', 'Viego', 'Yone', 'Hwei', 'Akali']"
DyFIJZg1hYt_azzOqG_QfhvHCrqh6V3PrVow_l34HFAuU85SDaxOHk2WvQ,"['Smolder', 'Neeko', 'Ryze', 'Kennen', 'Urgot']","['Neeko', 'Ryze']"
DylAXnWAOIltu6Mh08joZTQH_K5cBthZbeoW4boGCNfAl6BOTM_E7Wxgog,"['Jax', 'Tryndamere']","['Jax', 'Tryndamere']"
Dz-F-guL6IsIB-aSrDRa5HSvqebQ5rJSBjKcwc3zx2w4hT177lMNBq72YQ,['Riven'],['Riven']
DzdDNfH2SkearM_N1FI0n3vOO-xGJ1UBLoHEP--CC9Mx0Q,"['Nidalee', 'Vi']","['Vi', 'Nidalee']"
E-28y95s1UinUDavwtRLdg-xIssjf1R9xGgKxNxJfzyTFA,"['Poppy', 'Rell', 'Seraphine']",['Rell']
E-vgxwKNm_koML5otHOpRPo8Fib1oeqS86I0U5KQ3GOyJg,"['Nautilus', 'Seraphine']","['Seraphine', 'Neeko', 'Nautilus']"
E1Q4yDX-f3cmVuXZP3-wTCM4yxySqbM4BkyFFIEiGhN8jz0,['Gnar'],"['Gnar', 'Yone', 'Aatrox']"
E1hubg89UhoCK3on-wj6YJMUy0xqLrGL6dkRV2l1038DAcA,"['Yuumi', 'Karma']","['Karma', 'Lulu']"
E29DuEMar06lImKzZ-wKx5dBWDSqSr8bCeIBlW2wn5YCSQ,"['Yone', 'Akali', 'Yasuo']",['Yasuo']
E2NroPjgCB-SkuRrzqhl3IlU3ce94twg-4qeNxSD0zYTGTU,"['Rumble', 'Smolder']","['Rumble', 'Smolder']"
E42lHo2-lhiX3QfVUWsEV7iGTFTrOKIgAiZwJCcnS4T5hKY,"['Gragas', 'Swain']","['Katarina', 'Swain', 'Sylas']"
E4QAZP4x_wbi78e9yqk5rapt7x1i4bxiht6bXpgHe5iPfB8,"['Zac', 'Viego', 'Pyke']",['Viego']
E4hJ1pwxS7W3ZY4FDVyWVTDi9I27ZDcy1o1MAZzNG5mWxOzcYJFWGhbNnQ,"['Alistar', 'Poppy', 'Rell', 'Leona']","['Leona', 'Pyke', 'Rell', 'Poppy', 'Braum']"
E6GNtsGS3d81838TZU_VISPnetG0B7gSyYLAjK9NC9yMTJg,['Leona'],['Leona']
E7BH7He_kI_FpY3Ypm93ONZ4f1kraIPoal9QFs-58eC1T-EFY5RiITN6XA,"['Aurora', 'Gwen', 'Yone']","['Aurora', 'Jax']"
E88srxlAZoHbjGzjfjsZHCDMslik6bMqUwoVVbWm0580LQ3gJnbSoWO0wg,"['Lulu', 'Rakan', 'Braum', 'Thresh', 'Leona', 'Rell']","['Rell', 'Nautilus', 'Thresh']"
E89oOl9vPJTGx_i1WwHxQlF8t5oleQr_DF9321Ld__fc2Eaw5Bwn_W4Jkw,"['Graves', 'Karthus']","['Karthus', 'Hecarim', 'Yuumi']"
E8Cxu1ujpPoknwMJilaRio8JsgD1uZmcu8dZzYGKVBe87FvvHQLJh18QPw,"['Cassiopeia', 'Syndra', 'Akali', 'Alistar', 'Ryze', 'Yone', 'Aurora']","['Yone', 'Akali', 'Ryze', 'Aurora', 'Sylas']"
E92ZyAxgvXnh-e5MQ7nI0cHpwY6wbeAWRYeb6IbQea2uVlk,"['Sylas', 'Hwei', 'Jayce']","['Jayce', 'Ahri', 'Neeko', 'Hwei']"
E9JyMJTCB1cKOR_m9NG7y96Kd0yb_b6sQEzTWYLeAf2luj8,"['Tristana', 'Renekton']","['Hwei', 'Fizz']"
EAlbo67e5mY3LhwiSTeQxEyAHWmgpsZvH5aokJ7vEQjHTucKc1N95VTlcg,['Shen'],"['Shen', 'Gwen']"
EAnC1lXRJd8aMR_qzigOnDZz4_wdauaTQL3bE2HpnIhCYPQ,"['Lulu', 'Thresh']","['Lulu', 'Thresh']"
EBEKeX9J0J322U8wm7Bqt_DXhzLrN8iCHw6VoRWDpC4arys6,"['Braum', 'Rakan', 'Briar', 'Seraphine']",['Seraphine']
ED2dIn7IGlrtBWxZ8FqYmwpiImc24vw0yT-0piYdZIfYeNQ,"['Talon', 'Lissandra']","['Lissandra', 'Talon', 'Ahri']"
EEMJx--guSIP7R8YZDq6iIUJ0y4k2FBg3GsqXg-l0nepcVY,['Zilean'],['Zilean']
EHEwvXosu8JNz2ChZCEm_MxZtDfAJfjsDtngClLRZ061qOQ,['Vladimir'],['Vladimir']
EHtap2ipDpmTzeQdY-6wmYBg94x_05MOqF4sCpftvKCOj5IX141ffBFP7Q,"['Yone', 'Jinx', 'Ezreal', 'Ashe', 'Aphelios']",['Jhin']
EJozNcByG5MCfSh-sMxMeA1x51TsEoG2v0EsLqGzbTeO77bxYOgvkWJfAQ,['Nidalee'],"['Nidalee', 'Rumble']"
EL0Lg6vs6ZdaweZEx-Jpa3gdCPYqxQc75ocuvXZI3PwpJD8,"['Ahri', 'Nocturne', 'Ashe', 'Taliyah', 'Graves']","['Ashe', 'Taliyah', 'Ahri', 'Jhin', 'Jinx']"
EM-C0xze13E_YKorZ3TL9jdmHNJGuhsnYlhJYwsnUmAjOOr8XP3xYvFpPA,['Leona'],"['Maokai', 'Lulu', 'Seraphine']"
EMj248WZ6pXYE0SDqgIsj0VMnRFgevBCpK5OKrwm8URej3W_4OAVpkLjug,"['Nidalee', 'Elise']","['Nidalee', 'Viego', 'Elise']"
EMmvK-aXDCx_dNlwWK2AIbxddbVrSG2zaUGpMtlNWKLv20A,"['Skarner', 'Poppy', 'Rell']",['Skarner']
